row;annotator;date;token;item;correct;mispronunciation;meaning;comment
1;DY;10-Sep-19;1;dimope;0;timope;0;
2;DY;10-Sep-19;2;dimope;1;NA;NA;
3;DY;10-Sep-19;3;dimope;1;NA;NA;
4;DY;10-Sep-19;4;dimope;0;timope;0;
5;DY;10-Sep-19;5;dimope;1;NA;NA;
6;DY;10-Sep-19;6;dimope;1;NA;NA;
7;DY;10-Sep-19;7;dimope;1;NA;NA;
8;DY;10-Sep-19;8;dimope;1;NA;NA;
9;DY;10-Sep-19;9;dimope;1;NA;NA;
10;DY;10-Sep-19;10;dimope;0;kemope;0;
11;DY;10-Sep-19;11;dimope;1;NA;NA;
12;DY;10-Sep-19;12;dimope;0;ti-mope;0;
13;DY;10-Sep-19;13;dimope;0;ti-mope;0;
14;DY;10-Sep-19;14;dimope;1;NA;NA;
15;DY;10-Sep-19;15;dimope;1;NA;NA;
16;DY;10-Sep-19;16;dimope;1;NA;NA;
17;DY;10-Sep-19;17;dimope;1;NA;NA;
18;DY;10-Sep-19;18;dimope;0;kimope;0;
19;DY;10-Sep-19;19;dimope;1;NA;NA;
20;DY;10-Sep-19;20;dimope;0;timope;0;
21;DY;10-Sep-19;21;dimope;1;NA;NA;
22;DY;10-Sep-19;22;dimope;1;NA;NA;
23;DY;10-Sep-19;23;dimope;1;NA;NA;
24;DY;10-Sep-19;24;dimope;1;NA;NA;
25;DY;10-Sep-19;25;dimope;0;timope;0;
26;DY;10-Sep-19;26;dimope;1;NA;NA;
27;DY;10-Sep-19;1;diponate;1;NA;NA;
28;DY;10-Sep-19;2;diponate;0;chi-po-nate;0;
29;DY;10-Sep-19;3;diponate;0;chiponade;0;
30;DY;10-Sep-19;4;diponate;1;NA;NA;
31;DY;10-Sep-19;5;diponate;0;chiponate;0;
32;DY;10-Sep-19;6;diponate;1;NA;NA;
33;DY;10-Sep-19;7;diponate;1;NA;NA;
34;DY;10-Sep-19;8;diponate;1;NA;NA;
35;DY;10-Sep-19;9;diponate;1;NA;NA;
36;DY;10-Sep-19;10;diponate;0;chiponate;0;
37;DY;10-Sep-19;11;diponate;1;NA;NA;
38;DY;10-Sep-19;12;diponate;1;NA;NA;
39;DY;10-Sep-19;13;diponate;1;NA;NA;
40;DY;10-Sep-19;14;diponate;0;tiponate;0;
41;DY;10-Sep-19;15;diponate;1;NA;NA;
42;DY;10-Sep-19;16;diponate;0;diponade;0;
43;DY;10-Sep-19;17;diponate;1;NA;NA;
44;DY;10-Sep-19;18;diponate;0;chi-po-nade;0;
45;DY;10-Sep-19;19;diponate;0;di;0;
46;DY;10-Sep-19;20;diponate;0;chiponate;0;
47;DY;10-Sep-19;21;diponate;1;NA;NA;
48;DY;10-Sep-19;22;diponate;0;dipona-de;0;
49;DY;10-Sep-19;23;diponate;1;NA;NA;
50;DY;10-Sep-19;24;diponate;1;NA;NA;
51;DY;10-Sep-19;25;diponate;0;chiponate;0;
52;DY;10-Sep-19;26;diponate;0;chipo-de-nate;0;
53;DY;10-Sep-19;27;diponate;0;chiponape;0;
54;DY;10-Sep-19;28;diponate;1;NA;NA;
55;DY;10-Sep-19;29;diponate;1;NA;NA;
56;DY;10-Sep-19;30;diponate;0;tiponate;0;
57;DY;10-Sep-19;1;diyeto;0;tiyeto;0;
58;DY;10-Sep-19;2;diyeto;0;piyeto;0;
59;DY;10-Sep-19;3;diyeto;0;tiyeto;0;
60;DY;10-Sep-19;4;diyeto;0;tiye-to;0;
61;DY;10-Sep-19;5;diyeto;0;tiyeto;0;
62;DY;10-Sep-19;6;diyeto;0;tiyoto;0;
63;DY;10-Sep-19;7;diyeto;1;NA;NA;
64;DY;10-Sep-19;8;diyeto;0;dpî;sleeping;
65;DY;10-Sep-19;9;diyeto;0;tiyeto;0;
66;DY;10-Sep-19;10;diyeto;0;piyeto;0;
67;DY;10-Sep-19;11;diyeto;1;NA;NA;
68;DY;10-Sep-19;12;diyeto;0;piyeto;0;
69;DY;10-Sep-19;13;diyeto;1;NA;NA;
70;DY;10-Sep-19;14;diyeto;1;NA;NA;
71;DY;10-Sep-19;15;diyeto;0;tiyeto;0;
72;DY;10-Sep-19;16;diyeto;0;tiyeto;0;
73;DY;10-Sep-19;17;diyeto;0;tiyeto;0;
74;DY;10-Sep-19;18;diyeto;0;e-tóó;sitting;
75;DY;10-Sep-19;19;diyeto;1;NA;NA;
76;DY;10-Sep-19;20;diyeto;0;tiyeto;0;
77;DY;10-Sep-19;21;diyeto;1;NA;NA;
78;DY;10-Sep-19;22;diyeto;1;NA;NA;
79;DY;10-Sep-19;23;diyeto;0;piyeto;0;
80;DY;10-Sep-19;24;diyeto;0;tiyeto;0;
81;DY;10-Sep-19;25;diyeto;0;tiyeto;0;
