"target"	"id"	"tokid"	"row"	"annotator"	"date"	"token"	"item"	"correct"	"mispronunciation"	"meaning"	"comment"	"file"	"int"	"on"	"off"	"cor"	"mp"	"outfile"	"rand"	"nb"	"rep"	"attempt"	"rown"	"included"	"Age"	"Sex"	"birthOrder"	"familyID"	"notes_familyID"	"monolingual"	"matEd"	"Cond"	"Date"	"Time"	"File"	"fastcode"	"fullcode"	"Notes"	"notes_demo"	"Where"	"Village"	"age.rounded"	"type"	"target_ortho"	"phono"	"ortho1"	"ortho2"	"ortho3"	"ortho4"	"ortho5"	"ortho6"	"ortho7"	"ortho8"	"avg_fr"	"avg_fr_cor"	"avg_fr_cor_ty"	"mp_uni"	"target_uni"	"nonfluent"	"tarlen"	"trafos"	"nchar"	"sub"	"del"	"ins"	"ld"	"nld"	"phon_score"
"dimope"	"c121"	"dimope 3"	3	"DY"	"10-Sep-19"	3	"dimope"	1	NA	NA	""	"190830_0080S12_ch1"	54	135.61	136.784	NA	NA	"pairs/dimope_c121_1.wav"	"0,292193647"	3	"1"	"first"	53	"yes"	8	"B"	NA	"k c121"	"not_found"	"yes"	6	"1a"	20190830	"end 14:54"	"190830_0080S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	8.6	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c80"	"dimope 12"	12	"DY"	"10-Sep-19"	12	"dimope"	0	"ti-mope"	"0"	""	"180101_0035S12_ch1"	56	203.7	204.589	NA	NA	"pairs/dimope_c80_1.wav"	"0,502232371"	12	"1"	"first"	11	"yes"	7	"B"	3	"17"	"old_familyID"	"no"	6	"5b"	20190827	""	"180101_0035S12"	NA	"yes"	"memorized?"	""	"on veranda (in public)"	"Village#1"	7.4	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"timope"	"dimope"	1	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c93"	"dimope 26"	26	"DY"	"10-Sep-19"	26	"dimope"	1	NA	NA	""	"180102_0048S12_ch1"	101	315.192	316.363	NA	NA	"pairs/dimope_c93_1.wav"	"0,943027928"	26	"1"	"first"	24	"yes"	3	"G"	5	"18"	"old_familyID"	"yes"	8	"13a"	20190828	"12:08"	"180101_0048S12"	"names"	""	""	""	"in house"	"Village#2"	3.9	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c73"	"dimope 4"	4	"DY"	"10-Sep-19"	4	"dimope"	0	"timope"	"0"	""	"190825_0024_ch1"	58	215.705	216.664	NA	NA	"pairs/dimope_c73_1.wav"	"0,292518889"	4	"1"	"first"	4	"yes"	6	"G"	4	"9"	"old_familyID"	"yes"	8	"3a"	20190826	"16:06"	"190825_0024"	NA	"yes"	"sib to c74"	""	"in house"	"Village#1"	6.3	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"timope"	"dimope"	NA	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c79"	"dimope 7"	7	"DY"	"10-Sep-19"	7	"dimope"	1	NA	NA	""	"180101_0034S12_ch1"	52	178.595	179.715	NA	NA	"pairs/dimope_c79_1.wav"	"0,374067104"	7	"1"	"first"	10	"yes"	7	"B"	1	"NA-14b"	"interpolated_old_familyID"	"yes"	10	"6a"	20190827	"16:51"	"180101_0034S12"	NA	"yes"	""	""	"on veranda (in public)"	"Village#1"	7.5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c110"	"dimope 2"	2	"DY"	"10-Sep-19"	2	"dimope"	1	NA	NA	""	"190829_0066S12_ch1"	58	235.079	236.451	NA	NA	"pairs/dimope_c110_1.wav"	"0,267160057"	2	"1"	"first"	42	"yes"	5	"B"	1	"33"	"old_familyID"	"yes"	8	"18a"	20190829	"ended 16:03"	"190829_0066S12"	"names"	""	"weird weak articulations"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#3"	5.2	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c119"	"dimope 9"	9	"DY"	"10-Sep-19"	9	"dimope"	1	NA	NA	""	"190830_0078S12_ch1"	46	348.007	349.119	NA	NA	"pairs/dimope_c119_1.wav"	"0,402199904"	9	"1"	"first"	51	"yes"	7	"B"	NA	"k c119"	"not_found"	"yes"	8	"18a"	20190830	"14:28"	"190830_0078S12"	"names"	""	"intended order 18a"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	7	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c107"	"dimope 13"	13	"DY"	"10-Sep-19"	13	"dimope"	0	"ti-mope"	"0"	""	"190829_0063S12_ch1"	74	261.028	262.5	NA	NA	"pairs/dimope_c107_2.wav"	"0,507028936"	13	"2"	"subsequent"	39	"yes"	7	"B"	1	"30"	"old_familyID"	"yes"	10	"16b"	20190829	"ended 15:41"	"190829_0063S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#3"	7.6	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	"timope"	"dimope"	1	6	"SMMMMM"	6	1	0	0	1	0.166666666666667	0.833333333333333
"dimope"	"c117"	"dimope 17"	17	"DY"	"10-Sep-19"	17	"dimope"	1	NA	NA	""	"190830_0073S12_ch1"	50	120.243	121.418	NA	NA	"pairs/dimope_c117_1.wav"	"0,577906213"	17	"1"	"first"	49	"yes"	7	"G"	NA	"k c117"	"not_found"	"yes"	6	"20a"	20190830	""	"190830_0073S12"	"names"	""	"lots of artifactsѕ; not for acoustic ana"	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#4"	7.5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
"dimope"	"c108"	"dimope 8"	8	"DY"	"10-Sep-19"	8	"dimope"	1	NA	NA	""	"190829_0064S12_ch1"	92	292.554	293.758	NA	NA	"pairs/dimope_c108_1.wav"	"0,396206054"	8	"1"	"first"	40	"yes"	7	"B"	2	"34"	"old_familyID"	"yes"	10	"17a"	20190829	"15:42"	"190829_0064S12"	"names"	""	""	""	"on veranda (semi-public, small audience, included other children tested)"	"Village#3"	7.5	"3"	"dimope"	"ṭimɔpɛ"	"d"	"i"	"m"	"o"	"p"	"e"	NA	NA	61.5	-3.20357589310042	-3.03964656349067	NA	"dimope"	NA	6	"MMMMMM"	6	NA	NA	NA	NA	0	1
