id	file	int	target	on	off	cor	mp	outfile	rand	nb
c71	190825_0022_ch1	58	dimope	157.527	158.408	NA	NA	pairs/dimope_c71_1.wav	0,119763893	1
c110	190829_0066S12_ch1	58	dimope	235.079	236.451	NA	NA	pairs/dimope_c110_1.wav	0,267160057	2
c121	190830_0080S12_ch1	54	dimope	135.610	136.784	NA	NA	pairs/dimope_c121_1.wav	0,292193647	3
c73	190825_0024_ch1	58	dimope	215.705	216.664	NA	NA	pairs/dimope_c73_1.wav	0,292518889	4
c111	190830_0067S12_ch1	46	dimope	163.478	164.448	NA	NA	pairs/dimope_c111_1.wav	0,325304311	5
c91	180102_0046S12_ch1	60	dimope	375.465	376.569	NA	NA	pairs/dimope_c91_2.wav	0,371799206	6
c79	180101_0034S12_ch1	52	dimope	178.595	179.715	NA	NA	pairs/dimope_c79_1.wav	0,374067104	7
c108	190829_0064S12_ch1	92	dimope	292.554	293.758	NA	NA	pairs/dimope_c108_1.wav	0,396206054	8
c119	190830_0078S12_ch1	46	dimope	348.007	349.119	NA	NA	pairs/dimope_c119_1.wav	0,402199904	9
c84	180102_0039S12_ch1	96	dimope	439.791	440.862	NA	NA	pairs/dimope_c84_1.wav	0,416383445	10
c123	190830_0082S12_ch1	50	dimope	141.730	142.809	NA	NA	pairs/dimope_c123_1.wav	0,480668174	11
c80	180101_0035S12_ch1	56	dimope	203.700	204.589	NA	NA	pairs/dimope_c80_1.wav	0,502232371	12
c107	190829_0063S12_ch1	74	dimope	261.028	262.500	NA	NA	pairs/dimope_c107_2.wav	0,507028936	13
c87	180102_0042S12_ch1	70	dimope	309.757	310.894	NA	NA	pairs/dimope_c87_1.wav	0,524364966	14
c70	190825_0021_ch1	56	dimope	338.597	340.170	NA	NA	pairs/dimope_c70_1.wav	0,542886876	15
c82	180101_0037S12_ch1	68	dimope	160.091	161.107	NA	NA	pairs/dimope_c82_1.wav	0,566894666	16
c117	190830_0073S12_ch1	50	dimope	120.243	121.418	NA	NA	pairs/dimope_c117_1.wav	0,577906213	17
c71	190825_0022_ch1	60	dimope	161.742	163.126	NA	NA	pairs/dimope_c71_2.wav	0,593919805	18
c105	190829_0061S12_ch1	54	dimope	241.214	242.418	NA	NA	pairs/dimope_c105_2.wav	0,633384228	19
c107	190829_0063S12_ch1	72	dimope	257.430	258.701	NA	NA	pairs/dimope_c107_1.wav	0,666175898	20
c76	180101_0031S12_left	64	dimope	219.368	220.739	NA	NA	pairs/dimope_c76_1.wav	0,729715322	21
c84	180102_0039S12_ch1	98	dimope	444.474	445.477	NA	NA	pairs/dimope_c84_2.wav	0,738101265	22
c114	190830_0070S12_ch1	70	dimope	251.692	252.829	NA	NA	pairs/dimope_c114_1.wav	0,757268696	23
c91	180102_0046S12_ch1	58	dimope	371.920	372.856	NA	NA	pairs/dimope_c91_1.wav	0,813124791	24
c105	190829_0061S12_ch1	52	dimope	237.501	238.672	NA	NA	pairs/dimope_c105_1.wav	0,823364474	25
c93	180102_0048S12_ch1	101	dimope	315.192	316.363	NA	NA	pairs/dimope_c93_1.wav	0,943027928	26
c118	190830_0075S12_ch1	74	diponate	334.439	335.486	NA	NA	pairs/diponate_c118_3.wav	0,008841276	1
c70	190825_0021_ch1	72	diponate	383.935	385.728	NA	NA	pairs/diponate_c70_1.wav	0,011227647	2
c122	190830_0081S12_ch1	62	diponate	206.617	208.427	NA	NA	pairs/diponate_c122_1.wav	0,073161974	3
c82	180101_0037S12_ch1	86	diponate	204.413	205.937	NA	NA	pairs/diponate_c82_1.wav	0,078467549	4
c105	190829_0061S12_ch1	58	diponate	251.248	252.920	NA	NA	pairs/diponate_c105_1.wav	0,087435101	5
c90	180102_0045S12_ch1	92	diponate	256.065	257.539	NA	NA	pairs/diponate_c90_1.wav	0,101374449	6
c111	190830_0067S12_ch1	58	diponate	189.050	190.588	NA	NA	pairs/diponate_c111_1.wav	0,107880046	7
c84	180102_0039S12_ch1	102	diponate	456.190	457.517	NA	NA	pairs/diponate_c84_1.wav	0,180499406	8
c73	190825_0024_ch1	62	diponate	223.818	225.244	NA	NA	pairs/diponate_c73_1.wav	0,202269286	9
c77	180101_0032S12_ch1	48	diponate	123.899	125.103	NA	NA	pairs/diponate_c77_1.wav	0,205887408	10
c108	190829_0064S12_ch1	94	diponate	296.802	298.374	NA	NA	pairs/diponate_c108_1.wav	0,212936342	11
c81	180101_0036S12_ch1	82	diponate	316.958	318.171	NA	NA	pairs/diponate_c81_2.wav	0,219485299	12
c106	190829_0062S12_ch1	72	diponate	254.003	255.407	NA	NA	pairs/diponate_c106_1.wav	0,245343692	13
c118	190830_0075S12_ch1	72	diponate	328.946	330.406	NA	NA	pairs/diponate_c118_2.wav	0,263869546	14
c123	190830_0082S12_ch1	54	diponate	150.906	152.398	NA	NA	pairs/diponate_c123_1.wav	0,300060844	15
c114	190830_0070S12_ch1	78	diponate	267.832	269.070	NA	NA	pairs/diponate_c114_1.wav	0,42899569	16
c112	190830_0068S12_ch1	68	diponate	225.237	226.541	NA	NA	pairs/diponate_c112_1.wav	0,535776071	17
c72	190825_0023_ch1	66	diponate	412.950	414.621	NA	NA	pairs/diponate_c72_2.wav	0,547986755	18
c81	180101_0036S12_ch1	81	diponate	315.817	316.958	NA	NA	pairs/diponate_c81_1.wav	0,623946239	19
