"target"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"
"e"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"
"n"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"
"a"	"/a"	"tata"	7.12781954887218	"dpa"	"ṭpæ"	"dpa 10"
"ch"	"/a"	"tata"	7.12781954887218	"dpa"	"ṭpæ"	"dpa 10"
"a"	"/a"	"tata"	7.81134654818865	"dpa"	"ṭpæ"	"dpa 4"
"ch"	"/a"	"tata"	7.81134654818865	"dpa"	"ṭpæ"	"dpa 4"
"a"	"/a"	"tata"	5.52836637047163	"dpa"	"ṭpæ"	"dpa 9"
"ch"	"/a"	"tata"	5.52836637047163	"dpa"	"ṭpæ"	"dpa 9"
"dp"	"/u"	"/8/8"	8	"dpu"	"ṭpu"	"dpu 21"
"î"	"/u"	"/8/8"	8	"dpu"	"ṭpu"	"dpu 21"
"y"	"kamo"	"k3moyi"	7.25358851674641	"kamo"	"kæmɔ"	"kamo 5"
"i"	"kamo"	"k3moyi"	7.25358851674641	"kamo"	"kæmɔ"	"kamo 5"
"ly"	"Li"	"luxe"	7.5434039644566	"lvi"	"lβʲi"	"lvi 18"
"e"	"Li"	"luxe"	7.5434039644566	"lvi"	"lβʲi"	"lvi 18"
"ch"	"mituye"	"mituyet"	5.09637730690362	"mituye"	"mitujɛ"	"mituye 28"
"n"	"ńademo"	"enademo"	5.79904306220096	"ńademo"	"næṭɛmɔ"	"nademo 10"
"k"	"ńayeki"	"nayek1k1"	8.51674641148325	"ńayeki"	"næjɛki"	"nayeki 6"
":i"	"ńayeki"	"nayek1k1"	8.51674641148325	"ńayeki"	"næjɛki"	"nayeki 6"
"r"	"ńomiwake"	"formewake"	4.97881066302119	"ńomiwake"	"nɔmiwækɛ"	"nomiwake 25"
"h"	"pedumi"	"peshumi"	7.35475051264525	"pedumi"	"pɛṭumi"	"pedumi 21"
"i"	"tiwuńe"	"kikikiwune"	5.7799043062201	"tiwuńe"	"tiwunɛ"	"tiwune 1"
"k"	"tiwuńe"	"kikikiwune"	5.7799043062201	"tiwuńe"	"tiwunɛ"	"tiwune 1"
"i"	"tiwuńe"	"kikikiwune"	5.7799043062201	"tiwuńe"	"tiwunɛ"	"tiwune 1"
"k"	"tiwuńe"	"kikikiwune"	5.7799043062201	"tiwuńe"	"tiwunɛ"	"tiwune 1"
"ng"	"towi"	"towuNa"	5.24128503075871	"towi"	"tɔwi"	"towi 13"
"a"	"towi"	"towuNa"	5.24128503075871	"towi"	"tɔwi"	"towi 13"
"w"	"towi"	"towituwi"	3.91797676008202	"towi"	"tɔwi"	"towi 2"
"i"	"towi"	"towituwi"	3.91797676008202	"towi"	"tɔwi"	"towi 2"
"ch"	"towi"	"towituwi"	3.91797676008202	"towi"	"tɔwi"	"towi 2"
"u"	"towi"	"towituwi"	3.91797676008202	"towi"	"tɔwi"	"towi 2"
"a"	"widońe"	"walidi"	4.80109364319891	"widońe"	"wiṭɔnɛ"	"widone 12"
"l"	"widońe"	"walidi"	4.80109364319891	"widońe"	"wiṭɔnɛ"	"widone 12"
