child	file	int	target	on	off	corr	pron	out
c70	190825_0021_ch1	56	dimope	338.597	340.170	0	towape	pairs/dimope_c70_1.wav
c70	190825_0021_ch1	72	diponate	383.935	385.728	1		pairs/diponate_c70_1.wav
c70	190825_0021_ch1	26	dpa	258.772	259.247	1		pairs/dpa_c70_1.wav
c70	190825_0021_ch1	36	dpa2	286.775	287.370	1		pairs/dpa2_c70_1.wav
c70	190825_0021_ch1	40	dpe	295.592	296.364	0	ncha	pairs/dpe_c70_1.wav
c70	190825_0021_ch1	38	dpu	291.272	291.911	0	chu	pairs/dpu_c70_1.wav
c70	190825_0021_ch1	42	gh_aa	300.115	300.937	0	êlvaa	pairs/gh_aa_c70_1.wav
c70	190825_0021_ch1	44	gh_aa	309.858	311.084	1		pairs/gh_aa_c70_2.wav
c70	190825_0021_ch1	24	kp_aa	254.161	254.811	1		pairs/kp_aa_c70_1.wav
c70	190825_0021_ch1	28	lva	262.820	263.656	0	êlva	pairs/lva_c70_1.wav
c70	190825_0021_ch1	30	lvi	267.106	267.522	1		pairs/lvi_c70_1.wav
c70	190825_0021_ch1	32	lvi	277.896	279.112	1		pairs/lvi_c70_2.wav
c70	190825_0021_ch1	66	mituye	365.782	367.103	0	mitiye	pairs/mituye_c70_1.wav
c70	190825_0021_ch1	62	nayeki	352.504	353.888	1		pairs/nayeki_c70_1.wav
c70	190825_0021_ch1	64	nayeki	360.686	362.007	1		pairs/nayeki_c70_2.wav
c70	190825_0021_ch1	46	noki	315.284	316.668	1		pairs/noki_c70_1.wav
c70	190825_0021_ch1	52	nomi	328.903	330.318	1		pairs/nomi_c70_1.wav
c70	190825_0021_ch1	68	nomiwake	370.663	372.142	1		pairs/nomiwake_c70_1.wav
c70	190825_0021_ch1	70	nomiwake	378.873	380.351	1		pairs/nomiwake_c70_2.wav
c70	190825_0021_ch1	14	nopimade	213.898	216.295	0	nopimamade	pairs/nopimade_c70_1.wav
c70	190825_0021_ch1	16	nopimade	228.346	230.816	1		pairs/nopimade_c70_2.wav
c70	190825_0021_ch1	18	nopimade	238.007	239.678	1		pairs/nopimade_c70_3.wav
c70	190825_0021_ch1	54	pedumi	333.778	335.540	1		pairs/pedumi_c70_1.wav
c70	190825_0021_ch1	48	piwa	319.876	321.669	0		pairs/piwa_c70_1.wav
c70	190825_0021_ch1	10	poni	193.849	195.447	1		pairs/poni_c70_1.wav
c70	190825_0021_ch1	12	poni	201.694	203.292	1		pairs/poni_c70_2.wav
c70	190825_0021_ch1	20	t_ee	244.617	245.193	0	táá	pairs/t_ee_c70_1.wav
c70	190825_0021_ch1	58	tiwune	343.378	345.171	0	dipunde	pairs/tiwune_c70_1.wav
c70	190825_0021_ch1	50	towi	324.342	325.695	1		pairs/towi_c70_1.wav
c70	190825_0021_ch1	34	tp_a	282.573	283.063	0	cha	pairs/tp_a_c70_1.wav
c70	190825_0021_ch1	22	tpe	249.182	249.566	1		pairs/tpe_c70_1.wav
c70	190825_0021_ch1	2	wi	141.843	143.151	1		pairs/wi_c70_1.wav
c70	190825_0021_ch1	4	wi	143.805	145.475	1		pairs/wi_c70_2.wav
c70	190825_0021_ch1	6	wi	157.388	158.914	1		pairs/wi_c70_3.wav
c70	190825_0021_ch1	8	wi	167.292	168.672	1		pairs/wi_c70_4.wav
c70	190825_0021_ch1	60	wumipo	347.687	349.260	0	piwipo	pairs/wumipo_c70_1.wav
c71	190825_0022_ch1	58	dimope	157.527	158.408	0	kimope	pairs/dimope_c71_1.wav
c71	190825_0022_ch1	60	dimope	161.742	163.126	0	kimope	pairs/dimope_c71_2.wav
c71	190825_0022_ch1	62	diyeto	166.810	167.785	0	tiyoto	pairs/diyeto_c71_1.wav
c71	190825_0022_ch1	42	dpa	122.663	123.449	1		pairs/dpa_c71_1.wav
c71	190825_0022_ch1	44	dpa	125.462	126.249	1		pairs/dpa_c71_2.wav
c71	190825_0022_ch1	18	dpa2	65.163	65.792	1		pairs/dpa2_c71_1.wav
c71	190825_0022_ch1	40	dpe	118.491	119.214	1		pairs/dpe_c71_1.wav
c71	190825_0022_ch1	16	dpu	61.389	62.207	1		pairs/dpu_c71_1.wav
c71	190825_0022_ch1	28	gh_aa	87.488	88.243	1		pairs/gh_aa_c71_1.wav
c71	190825_0022_ch1	30	gh_aa	90.319	91.294	1		pairs/gh_aa_c71_2.wav
c71	190825_0022_ch1	56	kipo	152.746	153.689	1		pairs/kipo_c71_1.wav
c71	190825_0022_ch1	20	kp_aa	69.005	69.854	0	p:aa	pairs/kp_aa_c71_1.wav
c71	190825_0022_ch1	32	lva	95.478	96.264	1		pairs/lva_c71_1.wav
c71	190825_0022_ch1	34	lva	105.721	106.601	1		pairs/lva_c71_2.wav
c71	190825_0022_ch1	22	lvi	72.905	73.691	1		pairs/lvi_c71_1.wav
c71	190825_0022_ch1	24	lvi	80.291	81.203	1		pairs/lvi_c71_2.wav
c71	190825_0022_ch1	26	lvi	82.021	82.902	1		pairs/lvi_c71_3.wav
c71	190825_0022_ch1	64	meyadi	171.622	172.597	1		pairs/meyadi_c71_1.wav
c71	190825_0022_ch1	68	nademo	180.886	181.641	0	nabo	pairs/nademo_c71_1.wav
c71	190825_0022_ch1	69	nademo	181.641	182.647	0	nábo	pairs/nademo_c71_2.wav
c71	190825_0022_ch1	71	nademo	188.480	189.204	0	nawur-	pairs/nademo_c71_3.wav
c71	190825_0022_ch1	72	nademo	189.204	190.808	0	i-naro-wo	pairs/nademo_c71_4.wav
c71	190825_0022_ch1	48	noki	134.830	135.680	1		pairs/noki_c71_1.wav
c71	190825_0022_ch1	50	noki	136.938	137.756	1		pairs/noki_c71_2.wav
c71	190825_0022_ch1	52	nomi	141.656	142.442	0	no	pairs/nomi_c71_1.wav
c71	190825_0022_ch1	54	nomi	144.675	145.619	1		pairs/nomi_c71_2.wav
c71	190825_0022_ch1	80	nomiwake	211.275	212.848	0	nomuwake	pairs/nomiwake_c71_1.wav
c71	190825_0022_ch1	82	nomiwake	214.672	216.434	0	ênomiwake	pairs/nomiwake_c71_2.wav
c71	190825_0022_ch1	10	nopimade	47.153	49.166	0	bopilvate	pairs/nopimade_c71_1.wav
c71	190825_0022_ch1	74	pedumi	196.778	197.848	1		pairs/pedumi_c71_1.wav
c71	190825_0022_ch1	4	poni	26.114	27.624	0	epuni	pairs/poni_c71_1.wav
c71	190825_0022_ch1	6	poni	37.529	38.346	0	puni	pairs/poni_c71_2.wav
c71	190825_0022_ch1	8	poni	40.139	41.051	1		pairs/poni_c71_3.wav
c71	190825_0022_ch1	12	t_ee	53.148	54.029	1		pairs/t_ee_c71_1.wav
c71	190825_0022_ch1	76	todiwuma	201.878	203.199	0	tatuwo	pairs/todiwuma_c71_1.wav
c71	190825_0022_ch1	78	todiwuma	205.590	207.005	0	tatuwoma	pairs/todiwuma_c71_2.wav
c71	190825_0022_ch1	14	tp_a	57.394	58.306	1		pairs/tp_a_c71_1.wav
c71	190825_0022_ch1	36	tpe	109.747	110.564	1		pairs/tpe_c71_1.wav
c71	190825_0022_ch1	38	tpe	114.328	115.334	0	tpá	pairs/tpe_c71_2.wav
c71	190825_0022_ch1	66	tumowe	175.979	177.017	1		pairs/tumowe_c71_1.wav
c71	190825_0022_ch1	46	tupa	129.803	130.747	1		pairs/tupa_c71_1.wav
c71	190825_0022_ch1	2	wi	20.201	21.396	0	ghuwe	pairs/wi_c71_1.wav
c72	190825_0023_ch1	64	diponate	404.413	406.627	0	chipotenate	pairs/diponate_c72_1.wav
c72	190825_0023_ch1	66	diponate	412.950	414.621	0	chiponate	pairs/diponate_c72_2.wav
c72	190825_0023_ch1	12	dp_a	269.049	269.839	0	dpe (T) pe (A)	pairs/dp_a_c72_1.wav
c72	190825_0023_ch1	20	dpa	290.712	291.568	0	dpo	pairs/dpa_c72_1.wav
c72	190825_0023_ch1	22	dpee	295.215	295.764	0	dee (t) dkee (a)	pairs/dpee_c72_1.wav
c72	190825_0023_ch1	24	dpee	300.067	300.923	0	piye (t)	pairs/dpee_c72_2.wav
c72	190825_0023_ch1	26	dpee	304.942	305.636	0	pee	pairs/dpee_c72_3.wav
c72	190825_0023_ch1	14	dpi	275.469	276.350	0	pe (t) pé (a)	pairs/dpi_c72_1.wav
c72	190825_0023_ch1	16	dpi	279.851	280.707	0	chi (t) pchi (a) 	pairs/dpi_c72_2.wav
c72	190825_0023_ch1	30	ghuu	313.865	314.584	1	ghuu	pairs/ghuu_c72_1.wav
c72	190825_0023_ch1	32	ghuu	323.158	324.048	0	ghoo	pairs/ghuu_c72_2.wav
c72	190825_0023_ch1	44	kamo	352.567	353.456	0	kamwo	pairs/kamo_c72_1.wav
c72	190825_0023_ch1	34	kani	327.882	328.573	0	teni (t)	pairs/kani_c72_1.wav
c72	190825_0023_ch1	36	kani	331.794	332.662	0	téni	pairs/kani_c72_2.wav
c72	190825_0023_ch1	28	kpu	309.518	310.330	0	kîî (t)	pairs/kpu_c72_1.wav
c72	190825_0023_ch1	18	lv_e	284.213	285.157	0	w:ââ (dog) (t)	pairs/lv_e_c72_1.wav
c72	190825_0023_ch1	48	mituye	362.475	364.146	0	nétuye	pairs/mituye_c72_1.wav
c72	190825_0023_ch1	54	nayeki	377.704	378.985	1	nayeki	pairs/nayeki_c72_1.wav
