"target"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"	"meaningful"
"d"	"dimope"	NA	8.6015037593985	"dimope"	"ṭimɔpɛ"	"dimope 3"	FALSE
"i"	"dimope"	NA	8.6015037593985	"dimope"	"ṭimɔpɛ"	"dimope 3"	FALSE
"m"	"dimope"	NA	8.6015037593985	"dimope"	"ṭimɔpɛ"	"dimope 3"	FALSE
"o"	"dimope"	NA	8.6015037593985	"dimope"	"ṭimɔpɛ"	"dimope 3"	FALSE
"p"	"dimope"	NA	8.6015037593985	"dimope"	"ṭimɔpɛ"	"dimope 3"	FALSE
"e"	"dimope"	NA	8.6015037593985	"dimope"	"ṭimɔpɛ"	"dimope 3"	FALSE
"i"	"dimope"	"timope"	7.37115516062885	"dimope"	"ṭimɔpɛ"	"dimope 12"	TRUE
"m"	"dimope"	"timope"	7.37115516062885	"dimope"	"ṭimɔpɛ"	"dimope 12"	TRUE
"o"	"dimope"	"timope"	7.37115516062885	"dimope"	"ṭimɔpɛ"	"dimope 12"	TRUE
"p"	"dimope"	"timope"	7.37115516062885	"dimope"	"ṭimɔpɛ"	"dimope 12"	TRUE
"e"	"dimope"	"timope"	7.37115516062885	"dimope"	"ṭimɔpɛ"	"dimope 12"	TRUE
"d"	"dimope"	NA	3.91797676008202	"dimope"	"ṭimɔpɛ"	"dimope 26"	FALSE
"i"	"dimope"	NA	3.91797676008202	"dimope"	"ṭimɔpɛ"	"dimope 26"	FALSE
"m"	"dimope"	NA	3.91797676008202	"dimope"	"ṭimɔpɛ"	"dimope 26"	FALSE
"o"	"dimope"	NA	3.91797676008202	"dimope"	"ṭimɔpɛ"	"dimope 26"	FALSE
"p"	"dimope"	NA	3.91797676008202	"dimope"	"ṭimɔpɛ"	"dimope 26"	FALSE
"e"	"dimope"	NA	3.91797676008202	"dimope"	"ṭimɔpɛ"	"dimope 26"	FALSE
"i"	"dimope"	"timope"	6.32399179767601	"dimope"	"ṭimɔpɛ"	"dimope 4"	TRUE
"m"	"dimope"	"timope"	6.32399179767601	"dimope"	"ṭimɔpɛ"	"dimope 4"	TRUE
"o"	"dimope"	"timope"	6.32399179767601	"dimope"	"ṭimɔpɛ"	"dimope 4"	TRUE
"p"	"dimope"	"timope"	6.32399179767601	"dimope"	"ṭimɔpɛ"	"dimope 4"	TRUE
"e"	"dimope"	"timope"	6.32399179767601	"dimope"	"ṭimɔpɛ"	"dimope 4"	TRUE
"d"	"dimope"	NA	7.49965823650034	"dimope"	"ṭimɔpɛ"	"dimope 7"	FALSE
"i"	"dimope"	NA	7.49965823650034	"dimope"	"ṭimɔpɛ"	"dimope 7"	FALSE
"m"	"dimope"	NA	7.49965823650034	"dimope"	"ṭimɔpɛ"	"dimope 7"	FALSE
"o"	"dimope"	NA	7.49965823650034	"dimope"	"ṭimɔpɛ"	"dimope 7"	FALSE
"p"	"dimope"	NA	7.49965823650034	"dimope"	"ṭimɔpɛ"	"dimope 7"	FALSE
"e"	"dimope"	NA	7.49965823650034	"dimope"	"ṭimɔpɛ"	"dimope 7"	FALSE
"d"	"dimope"	NA	5.24128503075871	"dimope"	"ṭimɔpɛ"	"dimope 2"	FALSE
"i"	"dimope"	NA	5.24128503075871	"dimope"	"ṭimɔpɛ"	"dimope 2"	FALSE
"m"	"dimope"	NA	5.24128503075871	"dimope"	"ṭimɔpɛ"	"dimope 2"	FALSE
"o"	"dimope"	NA	5.24128503075871	"dimope"	"ṭimɔpɛ"	"dimope 2"	FALSE
"p"	"dimope"	NA	5.24128503075871	"dimope"	"ṭimɔpɛ"	"dimope 2"	FALSE
"e"	"dimope"	NA	5.24128503075871	"dimope"	"ṭimɔpɛ"	"dimope 2"	FALSE
"d"	"dimope"	NA	6.76965140123035	"dimope"	"ṭimɔpɛ"	"dimope 9"	FALSE
"i"	"dimope"	NA	6.76965140123035	"dimope"	"ṭimɔpɛ"	"dimope 9"	FALSE
"m"	"dimope"	NA	6.76965140123035	"dimope"	"ṭimɔpɛ"	"dimope 9"	FALSE
"o"	"dimope"	NA	6.76965140123035	"dimope"	"ṭimɔpɛ"	"dimope 9"	FALSE
"p"	"dimope"	NA	6.76965140123035	"dimope"	"ṭimɔpɛ"	"dimope 9"	FALSE
"e"	"dimope"	NA	6.76965140123035	"dimope"	"ṭimɔpɛ"	"dimope 9"	FALSE
"i"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 13"	TRUE
"m"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 13"	TRUE
"o"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 13"	TRUE
"p"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 13"	TRUE
"e"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 13"	TRUE
"d"	"dimope"	NA	7.5434039644566	"dimope"	"ṭimɔpɛ"	"dimope 17"	FALSE
"i"	"dimope"	NA	7.5434039644566	"dimope"	"ṭimɔpɛ"	"dimope 17"	FALSE
"m"	"dimope"	NA	7.5434039644566	"dimope"	"ṭimɔpɛ"	"dimope 17"	FALSE
"o"	"dimope"	NA	7.5434039644566	"dimope"	"ṭimɔpɛ"	"dimope 17"	FALSE
"p"	"dimope"	NA	7.5434039644566	"dimope"	"ṭimɔpɛ"	"dimope 17"	FALSE
"e"	"dimope"	NA	7.5434039644566	"dimope"	"ṭimɔpɛ"	"dimope 17"	FALSE
"d"	"dimope"	NA	7.47505126452495	"dimope"	"ṭimɔpɛ"	"dimope 8"	FALSE
"i"	"dimope"	NA	7.47505126452495	"dimope"	"ṭimɔpɛ"	"dimope 8"	FALSE
"m"	"dimope"	NA	7.47505126452495	"dimope"	"ṭimɔpɛ"	"dimope 8"	FALSE
"o"	"dimope"	NA	7.47505126452495	"dimope"	"ṭimɔpɛ"	"dimope 8"	FALSE
"p"	"dimope"	NA	7.47505126452495	"dimope"	"ṭimɔpɛ"	"dimope 8"	FALSE
"e"	"dimope"	NA	7.47505126452495	"dimope"	"ṭimɔpɛ"	"dimope 8"	FALSE
"i"	"dimope"	"timope"	NA	"dimope"	"ṭimɔpɛ"	"dimope 25"	TRUE
"m"	"dimope"	"timope"	NA	"dimope"	"ṭimɔpɛ"	"dimope 25"	TRUE
"o"	"dimope"	"timope"	NA	"dimope"	"ṭimɔpɛ"	"dimope 25"	TRUE
"p"	"dimope"	"timope"	NA	"dimope"	"ṭimɔpɛ"	"dimope 25"	TRUE
"e"	"dimope"	"timope"	NA	"dimope"	"ṭimɔpɛ"	"dimope 25"	TRUE
"i"	"dimope"	"kimope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 18"	TRUE
"m"	"dimope"	"kimope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 18"	TRUE
"o"	"dimope"	"kimope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 18"	TRUE
"p"	"dimope"	"kimope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 18"	TRUE
"e"	"dimope"	"kimope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 18"	TRUE
"i"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 20"	TRUE
"m"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 20"	TRUE
"o"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 20"	TRUE
"p"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 20"	TRUE
"e"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 20"	TRUE
"d"	"dimope"	NA	8.30895420369105	"dimope"	"ṭimɔpɛ"	"dimope 23"	FALSE
"i"	"dimope"	NA	8.30895420369105	"dimope"	"ṭimɔpɛ"	"dimope 23"	FALSE
"m"	"dimope"	NA	8.30895420369105	"dimope"	"ṭimɔpɛ"	"dimope 23"	FALSE
"o"	"dimope"	NA	8.30895420369105	"dimope"	"ṭimɔpɛ"	"dimope 23"	FALSE
"p"	"dimope"	NA	8.30895420369105	"dimope"	"ṭimɔpɛ"	"dimope 23"	FALSE
"e"	"dimope"	NA	8.30895420369105	"dimope"	"ṭimɔpɛ"	"dimope 23"	FALSE
"d"	"dimope"	NA	7.94258373205742	"dimope"	"ṭimɔpɛ"	"dimope 11"	FALSE
"i"	"dimope"	NA	7.94258373205742	"dimope"	"ṭimɔpɛ"	"dimope 11"	FALSE
"m"	"dimope"	NA	7.94258373205742	"dimope"	"ṭimɔpɛ"	"dimope 11"	FALSE
"o"	"dimope"	NA	7.94258373205742	"dimope"	"ṭimɔpɛ"	"dimope 11"	FALSE
