Study	Language	n	Age	Score	Length
Piazzalunga 2018	Italian 1-2 syll	56	4	73	1-2 syll
Piazzalunga 2018	Italian 1-2 syll	51	4.5	82	1-2 syll
Piazzalunga 2018	Italian 1-2 syll	41	5	86	1-2 syll
Piazzalunga 2018	Italian 1-2 syll	60	5.5	84	1-2 syll
Jaber 2018	Arabic 1-2 syll	20	5.5	95	1-2 syll
Piazzalunga 2018	Italian 1-2 syll	45	6	91	1-2 syll
Piazzalunga 2018	Italian 1-2 syll	50	6.5	91	1-2 syll
Tsi kids	Tsimane' 1-2 syll	5	4	70.3181818181818	1-2 syll
Tsi kids	Tsimane' 1-2 syll	4	6.5	76.3888888888889	1-2 syll
Tsi kids	Tsimane' 1-2 syll	2	8	86.6666666666667	1-2 syll
Tsi kids	Tsimane' 1-2 syll	4	11	54.6130952380952	1-2 syll
Piazzalunga 2018	Italian 3-4 syll	56	4	75	3-4 syll
Piazzalunga 2018	Italian 3-4 syll	51	4.5	75	3-4 syll
Piazzalunga 2018	Italian 3-4 syll	41	5	83	3-4 syll
Piazzalunga 2018	Italian 3-4 syll	60	5.5	85	3-4 syll
Jaber 2018	Arabic 3-4 syll	20	5.5	55	3-4 syll
Piazzalunga 2018	Italian 3-4 syll	45	6	92	3-4 syll
Piazzalunga 2018	Italian 3-4 syll	50	6.5	92	3-4 syll
Tsi kids	Tsimane' 3-4 syll	5	4	29.6296296296296	3-4 syll
Tsi kids	Tsimane' 3-4 syll	4	6.5	38.5416666666667	3-4 syll
Tsi kids	Tsimane' 3-4 syll	2	8	50	3-4 syll
Tsi kids	Tsimane' 3-4 syll	4	11	16.6666666666667	3-4 syll
This study	Yélî 1-2 syll	8	4.951811346625	54.1833513708514	1-2 syll
This study	Yélî 3-4 syll	8	4.951811346625	58.5267857142857	3-4syll
This study	Yélî 1-2 syll	16	6.6698564594375	64.2241612554113	1-2 syll
This study	Yélî 3-4 syll	16	6.6698564594375	72.2767857142857	3-4syll
This study	Yélî 1-2 syll	9	8.16252753077778	69.8545744379078	1-2 syll
This study	Yélî 3-4 syll	9	8.16252753077778	80.9656084656085	3-4syll
This study	Yélî 1-2 syll	3	10.2519936206667	70.3030303030303	1-2 syll
This study	Yélî 3-4 syll	3	10.2519936206667	88.8888888888889	3-4syll
