Study,Language,n,Age,Lengths,Overall,SD,1,2,3,4,sd1,sd2,sd3,sd4,Notes,Length distribution,Syllable inventory
Piazzalunga 2018,Italian,24,3,2-3,56.5,7.78125,NA,59,54,NA,NA,11,12,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,48,3.5,2-3,65.5,7.25,NA,68,63,NA,NA,8,14.5,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,56,4,2-3,74,9.730907537,NA,73,75,NA,NA,9,13.5,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,51,4.5,2-3,78.5,14.17393405,NA,82,75,NA,NA,7,8.5,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,41,5,2-3,84.5,19.50121127,NA,86,83,NA,NA,5.5,9.5,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,60,5.5,2-3,84.5,19.51006841,NA,84,85,NA,NA,7,6.5,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,45,6,2-3,91.5,20.28006841,NA,91,92,NA,NA,2.5,4,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Piazzalunga 2018,Italian,50,6.5,2-3,91.5,17.78277081,NA,91,92,NA,NA,2,4,NA,"median, sd = 1/2*IQR=1/2 * (75pcl-25pcl)",,
Jaber 2018,Arabic,20,5.5,2-3,88.18770227,19.26104789,NA,95.79288026,80.58252427,56.9579288,NA,NA,NA,NA,probably mean across children,,
Tsimane' 2020,Tsimane',5,5,2-3,37.81818182,19.26104789,72.91666667,62.3030303,13.33333333,22.22222222,20.83333333,27.41846582,29.8142397,19.24500897,"mean, sd",,
Tsimane' 2020,Tsimane',4,6.5,2-3,54.51388889,18.22156957,93.75,59.02777778,50,27.08333333,12.5,26.96734422,57.73502692,20.83333333,"mean, sd",,
Tsimane' 2020,Tsimane',6,10,2-3,46.82539683,15.20536757,70.27777778,60.31746032,33.33333333,22.22222222,29.44706487,32.34685413,57.73502692,19.24500897,"mean, sd",,
