ortho	phono	unichar	type	in_stim	freq	pc	notes	
:ii	i͂ː	ì	long_nasal	no	NA	NA	not looked up since not in stimuli	NA
:ee	ɛ͂ː	è	long_nasal	no	NA	NA	not looked up since not in stimuli	NA
:a	̃æ	ã	short_nasal	yes	46	2		
:aa	æ͂ː	à	long_nasal	yes	7	0		
:ââ	ɑ͂ː	6	long_nasal	yes	16	1		
:uu	u͂ː	ù	long_nasal	no	NA	NA	not looked up since not in stimuli	NA
:oo	ɔ͂ː	Ò	long_nasal	no	NA	NA	not looked up since not in stimuli	NA
ii	i:	ï	long_oral	no	NA	NA	not looked up since not in stimuli	NA
ee	ɛː	ë	long_oral	no	NA	NA	not looked up since not in stimuli	NA
:êê	ə͂ː	3	long_nasal	yes	20	1		
áá	?	Ä	long_oral	no	NA	NA	not looked up since not in stimuli	NA
aa	æː	ä	long_oral	no	NA	NA	not looked up since not in stimuli	NA
î	ɯ	8	long_oral	no	193	6		NA
îî	ɯ:	Ï	long_oral	no	NA	NA	not looked up since not in stimuli	NA
êê	ə:	2	long_oral	no	NA	NA	not looked up since not in stimuli	NA
a	æ	a	short_oral	yes	223	7		
â	ɑ	â	short_oral	yes	225	7		
óó	o:	ö	long_oral	no	NA	NA	not looked up since not in stimuli	NA
oo	ɔ:	Ö	long_oral	no	NA	NA	not looked up since not in stimuli	NA
ââ	ɑ:	5	long_oral	yes	104	3		
d	ṭ	d	consonant	yes	707	23	AC interpreted dot as dental, so looked up dental t (not advanced t)	
dp	ṭp	/	consonant	yes	1	0	AC used pt	
e	ɛ	e	short_oral	yes	1129	37		
ê	ə	ê	short_oral	yes	675	22		
éé	e:	Ë	long_oral	yes	641	21		
ó	o	ó	short_oral	no	NA	NA	not looked up since not in stimuli	NA
gh	ɣ	H	consonant	yes	436	14		
:i	i͂	1	short_nasal	no	NA	NA	not looked up since not in stimuli	NA
:e	ɛ͂	4	short_nasal	no	NA	NA	not looked up since not in stimuli	NA
i	i	i	short_oral	yes	2779	92		
:ê	ə͂	6	short_nasal	no	91	3		NA
:â	ɑ͂	7	short_nasal	no	NA	NA	not looked up since not in stimuli	NA
:u	u͂	8	short_nasal	no	NA	NA	not looked up since not in stimuli	NA
:o	ɔ͂	9	short_nasal	no	NA	NA	not looked up since not in stimuli	NA
ń	n	ń	consonant	no	2349	78		
kp	kp	P	consonant	yes	373	12		
lv	lβʲ	L	consonant	yes	10	0	AC used βʲ so this may be an overestimate	
m	m	m	consonant	yes	2914	96		
ngm	ŋm	G	consonant	no	NA	NA	not looked up since not in stimuli	NA
ńm	nm	M	consonant	no	NA	NA	not looked up since not in stimuli	NA
ng	ŋ	N	consonant	no	NA	NA	not looked up since not in stimuli	NA
mb	mb	b	consonant	no	NA	NA	not looked up since not in stimuli	NA
nd	ṇḍ	D	consonant	no	NA	NA	not looked up since not in stimuli	NA
nt	nd	T	consonant	no	NA	NA	not looked up since not in stimuli	NA
nk	ŋɡ	K	consonant	no	NA	NA	not looked up since not in stimuli	NA
dn	ṭṇ	?	consonant	no	NA	NA	not looked up since not in stimuli	NA
kn	kŋ	!	consonant	no	NA	NA	not looked up since not in stimuli	NA
vy	βʲ	V	consonant	no	NA	NA	not looked up since not in stimuli	NA
mt	nmdb	C	consonant	no	NA	NA	not looked up since not in stimuli	NA
md	ṇmḍb	J	consonant	no	NA	NA	not looked up since not in stimuli	NA
mg	ŋmɡb	X	consonant	no	NA	NA	not looked up since not in stimuli	NA
dm	ṭpṇm	S	consonant	no	NA	NA	not looked up since not in stimuli	NA
km	kpŋm	Z	consonant	no	NA	NA	not looked up since not in stimuli	NA
n	ṇ	n	consonant	yes	532	18	AC interpreted dot as dental, so looked up dental n (not advanced n)	
o	ɔ	o	short_oral	yes	1070	35		
p	p	p	consonant	yes	2594	86		
t	t	t	consonant	yes	2064	68		
tp	tp	:	consonant	yes	1	0	AC used pt	
u	u	u	short_oral	yes	2646	88		
uu	u:	ü	long_oral	yes	1003	29		
w	w	w	consonant	yes	2483	82		
y	j	y	consonant	yes	2716	90		
k	k	k	consonant	yes	2730	90		
