"wds_uni"	"counts_corpus_types"	"ortho"	"freq_corpus_types"
"44"	1	"dpy"	0.00016239038648912
"64"	1	"ty"	0.00016239038648912
"Dn"	1	"dn"	0.00016239038648912
"Mt"	1	"mt"	0.00016239038648912
"v"	1	"v"	0.00016239038648912
"ẃ"	1	"ẃ"	0.00016239038648912
"10"	2	":ê"	0.00032478077297824
"38"	2	":ó"	0.00032478077297824
"73"	2	"ly"	0.00032478077297824
"c"	2	"c"	0.00032478077297824
"37"	3	":óó"	0.00048717115946736
"42"	3	"pyw"	0.00048717115946736
"45"	3	"kpy"	0.00048717115946736
"56"	3	"mty"	0.00048717115946736
"f"	3	"f"	0.00048717115946736
"Md"	3	"md"	0.00048717115946736
"47"	4	"mwy"	0.000649561545956479
"51"	5	"mby"	0.000811951932445599
"54"	6	"ndy"	0.000974342318934719
"60"	6	"dmy"	0.000974342318934719
"g"	6	"g"	0.000974342318934719
"55"	7	"nkw"	0.00113673270542384
"8"	7	":i"	0.00113673270542384
"11"	8	":â"	0.00129912309191296
"59"	8	"dny"	0.00129912309191296
"r"	8	"r"	0.00129912309191296
"72"	9	"nj"	0.00146151347840208
"b"	9	"b"	0.00146151347840208
"36"	10	"ú"	0.0016239038648912
"41"	10	"pwy"	0.0016239038648912
"49"	10	"nmy"	0.0016239038648912
"Dm"	10	"dm"	0.0016239038648912
"12"	11	":u"	0.00178629425138032
"14"	11	"îî"	0.00178629425138032
"4"	11	":êê"	0.00178629425138032
"43"	11	"tpy"	0.00178629425138032
"66"	11	"ky"	0.00178629425138032
"17"	12	"éé"	0.00194868463786944
"48"	12	"ngw"	0.00194868463786944
"0"	13	":a"	0.00211107502435856
"9"	14	":e"	0.00227346541084768
"ń"	14	"ń"	0.00227346541084768
"19"	16	"óó"	0.00259824618382592
"Nk"	16	"nk"	0.00259824618382592
"s"	16	"s"	0.00259824618382592
"Dp"	18	"dp"	0.00292302695680416
"13"	20	":o"	0.0032478077297824
"5"	22	":ââ"	0.00357258850276064
"71"	23	"nm"	0.00373497888924976
"50"	25	"ngm"	0.004059759662228
"67"	25	"kw"	0.004059759662228
"h"	25	"h"	0.004059759662228
"Mg"	25	"mg"	0.004059759662228
"3"	26	":aa"	0.00422215004871712
"7"	26	":oo"	0.00422215004871712
"Km"	26	"km"	0.00422215004871712
"1"	27	":ii"	0.00438454043520624
"2"	28	":ee"	0.00454693082169536
"52"	29	"mbw"	0.00470932120818448
"6"	29	":uu"	0.00470932120818448
"68"	29	"my"	0.00470932120818448
"Ch"	30	"ch"	0.0048717115946736
"15"	31	"êê"	0.00503410198116272
"Kn"	32	"kn"	0.00519649236765183
"Vy"	32	"vy"	0.00519649236765183
"Tp"	33	"tp"	0.00535888275414096
"65"	34	"dy"	0.00552127314063007
"70"	35	"ny"	0.00568366352711919
"62"	36	"py"	0.00584605391360831
"Nd"	40	"nd"	0.00649561545956479
"23"	41	"oo"	0.00665800584605391
"22"	43	"ii"	0.00698278661903215
"69"	43	"mw"	0.00698278661903215
"Mb"	43	"mb"	0.00698278661903215
"27"	50	"â"	0.00811951932445599
"Gh"	50	"gh"	0.00811951932445599
"Kp"	50	"kp"	0.00811951932445599
"24"	55	"uu"	0.00893147125690159
"16"	59	"ââ"	0.00958103280285807
"63"	62	"pw"	0.0100682039623254
"Nt"	62	"nt"	0.0100682039623254
"21"	66	"ee"	0.0107177655082819
"28"	73	"é"	0.0118544982137057
"30"	79	"ó"	0.0128288405326405
"Ng"	85	"ng"	0.0138031828515752
"20"	87	"aa"	0.0141279636245534
"t"	151	"t"	0.0245209483598571
"w"	173	"w"	0.0280935368626177
"l"	179	"l"	0.0290678791815525
"y"	190	"y"	0.0308541734329328
"k"	194	"k"	0.0315037349788893
"p"	206	"p"	0.0334524196167587
"31"	231	"a"	0.0375121792789867
"25"	233	"î"	0.0378369600519649
"32"	264	"e"	0.0428710620331276
"35"	274	"u"	0.0444949658980188
"n"	280	"n"	0.0454693082169536
"34"	284	"o"	0.04611886976291
"d"	297	"d"	0.0482299447872686
"m"	339	"m"	0.0550503410198116
"33"	421	"i"	0.0683663527119195
"26"	465	"ê"	0.0755115297174407
