"wds_uni"	"counts_corpus"	"ortho"	"freq_corpus"
"44"	1	"dpy"	2.02326757713708e-05
"64"	1	"ty"	2.02326757713708e-05
"Dn"	1	"dn"	2.02326757713708e-05
"Mt"	1	"mt"	2.02326757713708e-05
"v"	1	"v"	2.02326757713708e-05
"ẃ"	1	"ẃ"	2.02326757713708e-05
"38"	2	":ó"	4.04653515427415e-05
"73"	2	"ly"	4.04653515427415e-05
"45"	3	"kpy"	6.06980273141123e-05
"56"	4	"mty"	8.0930703085483e-05
"37"	5	":óó"	0.000101163378856854
"10"	7	":ê"	0.000141628730399595
"47"	7	"mwy"	0.000141628730399595
"c"	7	"c"	0.000141628730399595
"f"	7	"f"	0.000141628730399595
"42"	9	"pyw"	0.000182094081942337
"51"	10	"mby"	0.000202326757713708
"Md"	10	"md"	0.000202326757713708
"r"	10	"r"	0.000202326757713708
"b"	12	"b"	0.000242792109256449
"41"	15	"pwy"	0.000303490136570561
"60"	17	"dmy"	0.000343955488113303
"g"	19	"g"	0.000384420839656045
"72"	20	"nj"	0.000404653515427415
"ń"	21	"ń"	0.000424886191198786
"12"	23	":u"	0.000465351542741528
"17"	23	"éé"	0.000465351542741528
"55"	23	"nkw"	0.000465351542741528
"54"	25	"ndy"	0.000505816894284269
"43"	31	"tpy"	0.000627212948912494
"11"	33	":â"	0.000667678300455235
"s"	34	"s"	0.000687910976226606
"14"	41	"îî"	0.000829539706626201
"36"	42	"ú"	0.000849772382397572
"4"	43	":êê"	0.000870005058168943
"0"	47	":a"	0.000950935761254426
"66"	50	"ky"	0.00101163378856854
"Mg"	52	"mg"	0.00105209914011128
"9"	53	":e"	0.00107233181588265
"59"	55	"dny"	0.00111279716742539
"48"	57	"ngw"	0.00115326251896813
"49"	59	"nmy"	0.00119372787051088
"Km"	75	"km"	0.00151745068285281
"8"	84	":i"	0.00169954476479514
"Nk"	85	"nk"	0.00171977744056651
"27"	93	"â"	0.00188163884673748
"71"	101	"nm"	0.00204350025290845
"5"	120	":ââ"	0.00242792109256449
"68"	128	"my"	0.00258978249873546
"Ch"	128	"ch"	0.00258978249873546
"2"	132	":ee"	0.00267071320182094
"Kp"	142	"kp"	0.00287303995953465
"65"	147	"dy"	0.0029742033383915
"Dm"	148	"dm"	0.00299443601416287
"13"	154	":o"	0.0031158320687911
"52"	168	"mbw"	0.00339908952959029
"Nd"	182	"nd"	0.00368234699038948
"62"	195	"py"	0.0039453717754173
"15"	199	"êê"	0.00402630247850278
"3"	203	":aa"	0.00410723318158827
"19"	204	"óó"	0.00412746585735964
"Kn"	205	"kn"	0.00414769853313101
"Gh"	209	"gh"	0.00422862923621649
"Dp"	215	"dp"	0.00435002529084471
"h"	222	"h"	0.00449165402124431
"Vy"	245	"vy"	0.00495700556398584
"63"	282	"pw"	0.00570561456752656
"69"	299	"mw"	0.00604957005563986
"Mb"	302	"mb"	0.00611026808295397
"1"	303	":ii"	0.00613050075872534
"6"	310	":uu"	0.00627212948912494
"7"	333	":oo"	0.00673748103186646
"24"	340	"uu"	0.00687910976226606
"Nt"	412	"nt"	0.00833586241780476
"23"	416	"oo"	0.00841679312089024
"50"	438	"ngm"	0.00886191198786039
"21"	474	"ee"	0.00959028831562974
"Tp"	486	"tp"	0.00983308042488619
"22"	510	"ii"	0.0103186646433991
"30"	512	"ó"	0.0103591299949418
"70"	580	"ny"	0.011734951947395
"16"	585	"ââ"	0.0118361153262519
"67"	664	"kw"	0.0134344967121902
"20"	934	"aa"	0.0188973191704603
"28"	1093	"é"	0.0221143146181082
"w"	1213	"w"	0.0245422357106727
"25"	1276	"î"	0.0258168942842691
"t"	1281	"t"	0.0259180576631259
"Ng"	1338	"ng"	0.0270713201820941
"p"	1338	"p"	0.0270713201820941
"32"	1524	"e"	0.030834597875569
"y"	1731	"y"	0.0350227617602428
"l"	1766	"l"	0.0357309054122408
"k"	1876	"k"	0.0379564997470916
"34"	1916	"o"	0.0387658067779464
"m"	2013	"m"	0.0407283763277694
"n"	2049	"n"	0.0414567526555387
"d"	2375	"d"	0.0480526049570056
"35"	2522	"u"	0.0510268082953971
"31"	3316	"a"	0.0670915528578655
"33"	3504	"i"	0.0708952959028832
"26"	4446	"ê"	0.0899544764795144
