ortho	phono	unichar	type	in_stim	freq	pc	notes
:ii	i__	ì	long_nasal	no	NA	NA	not looked up since not in stimuli
:ee	___	è	long_nasal	no	NA	NA	not looked up since not in stimuli
a	æ	a	short_oral	yes	223	7	
:a	æ_	ã	short_nasal	yes	46	2	
:aa	æ__	à	long_nasal	yes	7	0	
:uu	u__	ù	long_nasal	no	NA	NA	not looked up since not in stimuli
:oo	___	Ò	long_nasal	no	NA	NA	not looked up since not in stimuli
ii	i:	ï	long_oral	no	NA	NA	not looked up since not in stimuli
ee	__	ë	long_oral	no	NA	NA	not looked up since not in stimuli
â	_	â	short_oral	yes	225	7	
áá	?	Ä	long_oral	no	NA	NA	not looked up since not in stimuli
aa	æ_	ä	long_oral	no	NA	NA	not looked up since not in stimuli
îî	_:	Ï	long_oral	no	NA	NA	not looked up since not in stimuli
êê	_	2	long_oral	no	NA	NA	not looked up since not in stimuli
ââ	__	5	long_oral	no	NA	NA	not looked up since not in stimuli
:ââ	___	6	long_nasal	yes	16	1	
óó	o:	ö	long_oral	no	NA	NA	not looked up since not in stimuli
oo	_:	Ö	long_oral	no	NA	NA	not looked up since not in stimuli
éé	e:	Ë	long_oral	yes	641	21	
ê	_	ê	short_oral	yes	675	22	
:êê	___	3	long_nasal	yes	20	1	
e	_	e	short_oral	yes	1129	37	
gh	_	H	consonant	yes	436	14	
i	i	i	short_oral	yes	2779	92	
ó	o	ó	short_oral	no	NA	NA	not looked up since not in stimuli
y	j	y	consonant	yes	2716	90	
:i	i_	1	short_nasal	no	NA	NA	not looked up since not in stimuli
:e	__	4	short_nasal	no	NA	NA	not looked up since not in stimuli
kp	kp	P	consonant	yes	373	12	
:ê	__	6	short_nasal	no	NA	NA	not looked up since not in stimuli
:â	__	7	short_nasal	no	NA	NA	not looked up since not in stimuli
:u	u_	8	short_nasal	no	NA	NA	not looked up since not in stimuli
:o	__	9	short_nasal	no	NA	NA	not looked up since not in stimuli
'n	n	_	consonant	no	NA	NA	not looked up since not in stimuli
lv	l__	L	consonant	yes	10	0	AC used __ so this may be an overestimate
m	m	m	consonant	yes	2914	96	
n	n_	n	consonant	yes	532	18	"AC interpreted dot as dental, so looked up dental n (not advanced n)"
ngm	_m	G	consonant	no	NA	NA	not looked up since not in stimuli
_m	nm	M	consonant	no	NA	NA	not looked up since not in stimuli
ng	_	N	consonant	no	NA	NA	not looked up since not in stimuli
mb	mb	b	consonant	no	NA	NA	not looked up since not in stimuli
nd	n_d_	D	consonant	no	NA	NA	not looked up since not in stimuli
nt	nd	T	consonant	no	NA	NA	not looked up since not in stimuli
nk	__	K	consonant	no	NA	NA	not looked up since not in stimuli
dn	t_n_	?	consonant	no	NA	NA	not looked up since not in stimuli
kn	k_	!	consonant	no	NA	NA	not looked up since not in stimuli
vy	__	V	consonant	no	NA	NA	not looked up since not in stimuli
mt	nmdb	C	consonant	no	NA	NA	not looked up since not in stimuli
md	n_md_b	J	consonant	no	NA	NA	not looked up since not in stimuli
mg	_m_b	X	consonant	no	NA	NA	not looked up since not in stimuli
dm	t_pn_m	S	consonant	no	NA	NA	not looked up since not in stimuli
km	kp_m	Z	consonant	no	NA	NA	not looked up since not in stimuli
o	_	o	short_oral	yes	1070	35	
p	p	p	consonant	yes	2594	86	
t	t	t	consonant	yes	2064	68	
d	t_	d	consonant	yes	707	23	"AC interpreted dot as dental, so looked up dental t (not advanced t)"
tp	tp	:	consonant	yes	1	0	AC used pt
dp	t_p	/	consonant	yes	1	0	AC used pt
u	u	u	short_oral	yes	2646	88	
uu	u:	ü	long_oral	yes	1003	29	
