"ortho"	"phono"	"unichar"	"type"	"in_stim"	"freq"	"pc"	"notes"	"wds_uni.x"	"counts_corpus"	"freq_corpus"	"wds_uni.y"	"counts_corpus_types"	"freq_corpus_types"
":a"	"̃æ"	"ã"	"short_nasal"	"yes"	46	2	NA	"0"	47	0.000950935761254426	"0"	13	0.00211107502435856
":â"	"ɑ͂"	"7"	"short_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"11"	33	0.000667678300455235	"11"	8	0.00129912309191296
":aa"	"æ͂ː"	"à"	"long_nasal"	"yes"	7	0	NA	"3"	203	0.00410723318158827	"3"	26	0.00422215004871712
":ââ"	"ɑ͂ː"	"6"	"long_nasal"	"yes"	16	1	NA	"5"	120	0.00242792109256449	"5"	22	0.00357258850276064
":e"	"ɛ͂"	"4"	"short_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"9"	53	0.00107233181588265	"9"	14	0.00227346541084768
":ê"	"ə͂"	"6"	"short_nasal"	"no"	91	3	NA	"10"	7	0.000141628730399595	"10"	2	0.00032478077297824
":ee"	"ɛ͂ː"	"è"	"long_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"2"	132	0.00267071320182094	"2"	28	0.00454693082169536
":êê"	"ə͂ː"	"3"	"long_nasal"	"yes"	20	1	NA	"4"	43	0.000870005058168943	"4"	11	0.00178629425138032
":i"	"i͂"	"1"	"short_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"8"	84	0.00169954476479514	"8"	7	0.00113673270542384
":ii"	"i͂ː"	"ì"	"long_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"1"	303	0.00613050075872534	"1"	27	0.00438454043520624
":o"	"ɔ͂"	"9"	"short_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"13"	154	0.0031158320687911	"13"	20	0.0032478077297824
":oo"	"ɔ͂ː"	"Ò"	"long_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"7"	333	0.00673748103186646	"7"	26	0.00422215004871712
":u"	"u͂"	"8"	"short_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"12"	23	0.000465351542741528	"12"	11	0.00178629425138032
":uu"	"u͂ː"	"ù"	"long_nasal"	"no"	NA	NA	"not looked up since not in stimuli"	"6"	310	0.00627212948912494	"6"	29	0.00470932120818448
"a"	"æ"	"a"	"short_oral"	"yes"	223	7	NA	"31"	3316	0.0670915528578655	"31"	231	0.0375121792789867
"â"	"ɑ"	"â"	"short_oral"	"yes"	225	7	NA	"27"	93	0.00188163884673748	"27"	50	0.00811951932445599
"aa"	"æː"	"ä"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	"20"	934	0.0188973191704603	"20"	87	0.0141279636245534
"áá"	"?"	"Ä"	"long_oral"	"no"	NA	NA	"not looked up since not in stimuli"	NA	NA	NA	NA	NA	NA
"ââ"	"ɑ:"	"5"	"long_oral"	"yes"	104	3	NA	"16"	585	0.0118361153262519	"16"	59	0.00958103280285807
"d"	"ṭ"	"d"	"simple"	"yes"	481	16	"t = alveolar; tdot = postalveolar; MC used ʈ to represent the apical post-alveolar since the notation used by SCL is an older form used by Ladefoged that now appears to be not used anymore and instead these sounds would be conventionally grouped with the broader category of retroflex consonants"	"d"	2375	0.0480526049570056	"d"	297	0.0482299447872686
"dm"	"ṭpṇm"	"S"	"complex"	"no"	NA	NA	"not looked up since not in stimuli"	"Dm"	148	0.00299443601416287	"Dm"	10	0.0016239038648912
