type	target_ortho	target	phono	phono1	phono2	phono3	phono4	phono5	phono6	phono7	phono8
3	dimope	dimope	ṭimɔpɛ	ṭ	i	m	ɔ	p	ɛ	NA	NA
4	diponate	diponate	ṭipɔṇætɛ	ṭ	i	p	ɔ	ṇ	æ	t	ɛ
3	diyeto	diyeto	ṭijɛtɔ	ṭ	i	j	ɛ	t	ɔ	NA	NA
1	dp:a	dp_a	ṭpæ͂	ṭp	æ͂	NA	NA	NA	NA	NA	NA
1	dpa	dpa	ṭpæ	ṭp	æ	NA	NA	NA	NA	NA	NA
1	dpâ	dpa2	ṭpɑ	ṭp	ɑ	NA	NA	NA	NA	NA	NA
1	dpê	dpe	ṭpə	ṭp	ə	NA	NA	NA	NA	NA	NA
1	dpéé	dpee	ṭpe:	ṭp	e:	NA	NA	NA	NA	NA	NA
1	dpi	dpi	ṭpi	ṭp	i	NA	NA	NA	NA	NA	NA
1	dpu	dpu	ṭpu	ṭp	u	NA	NA	NA	NA	NA	NA
1	gh:ââ	gh_aa	ɣɑ:	ɣ	ɑ:	NA	NA	NA	NA	NA	NA
1	ghuu	ghuu	ɣu:	ɣ	u:	NA	NA	NA	NA	NA	NA
2	kamo	kamo	kæmɔ	k	æ	m	ɔ	NA	NA	NA	NA
2	kani	kani	kæṇi	k	æ	ṇ	i	NA	NA	NA	NA
2	kipo	kipo	kipɔ	k	i	p	ɔ	NA	NA	NA	NA
1	kp:ââ	kp_aa	kpɑ͂:	kp	ɑ͂:	NA	NA	NA	NA	NA	NA
1	kpu	kpu	kpu	kp	u	NA	NA	NA	NA	NA	NA
1	lv:ê	lv_e	lβʲə	lβʲ	ə	NA	NA	NA	NA	NA	NA
1	lva	lva	lβʲæ	lβʲ	æ	NA	NA	NA	NA	NA	NA
1	lvi	lvi	lβʲi	lβʲ	i	NA	NA	NA	NA	NA	NA
3	meyadi	meyadi	mɛjæṭi	m	ɛ	j	æ	ṭ	i	NA	NA
3	mituye	mituye	mitujɛ	m	i	t	u	j	ɛ	NA	NA
3	nademo	nademo	ṇædɛmɔ	ṇ	æ	d	ɛ	m	ɔ	NA	NA
3	nayeki	nayeki	ṇæjɛki	ṇ	æ	j	ɛ	k	i	NA	NA
2	noki	noki	ṇɔki	ṇ	ɔ	k	i	NA	NA	NA	NA
2	nomi	nomi	ṇɔmi	ṇ	ɔ	m	i	NA	NA	NA	NA
4	nomiwake	nomiwake	ṇɔmiwækɛ	ṇ	ɔ	m	i	w	æ	k	ɛ
practice	nopimade	nopimade	ṇɔpimædɛ	ṇ	ɔ	p	i	m	æ	d	ɛ
3	nuyedi	nuyedi	ṇujɛdi	ṇ	u	j	ɛ	d	i	NA	NA
3	pedumi	pedumi	pɛdumi	p	ɛ	d	u	m	i	NA	NA
2	piwa	piwa	piwæ	p	i	w	æ	NA	NA	NA	NA
practice	poni 	poni	pɔṇi	p	ɔ	ṇ	i	NA	NA	NA	NA
1	t:êê	t_ee	tə͂ː	t	ə͂ː	NA	NA	NA	NA	NA	NA
3	tiwune	tiwune	tiwuṇɛ	t	i	w	u	ṇ	ɛ	NA	NA
4	todiwuma	todiwuma	tɔṭiwumæ	t	ɔ	t	̣i	w	u	m	æ
2	towi	towi	tɔwi	t	ɔ	w	i	NA	NA	NA	NA
1	tp:a	tp_a	tpæ͂	tp	æ͂	NA	NA	NA	NA	NA	NA
1	tpâ	tpa	tpɑ	tp	ɑ	NA	NA	NA	NA	NA	NA
1	tpê	tpe	tpə	tp	ə	NA	NA	NA	NA	NA	NA
3	tumowe	tumowe	tumɔwɛ	t	u	m	ɔ	w	ɛ	NA	NA
2	tupa	tupa	tupæ	t	u	p	æ	NA	NA	NA	NA
4	wadikeno	wadikeno	wæṭikɛṇɔ	w	æ	ṭ	i	k	ɛ	ṇ	ɔ
practice	wî 	wi	wɯ	w	ɯ	NA	NA	NA	NA	NA	NA
3	widone	widone	wiṭɔṇɛ	w	i	ṭ	ɔ	ṇ	ɛ	NA	NA
3	wumipo	wumipo	wumipɔ	w	u	m	i	p	ɔ	NA	NA
