type	target_ortho	target	phono		
3	dimope	dimope	t_im_p_		
4	diponate	diponate	t_ip_n_æt_		
3	diyeto	diyeto	t_ij_t_		
1	dp:a	dp_a	t_pæ_		
1	dpa	dpa	t_pæ		
1	dpâ	dpa2	t_p_		
1	dpê	dpe	t_p_		
1	dpéé	dpee	t_pe:		
1	dpi	dpi	t_pi		
1	dpu	dpu	t_pu		
1	gh:ââ	gh_aa	__:		
1	ghuu	ghuu	_u:		
2	kamo	kamo	kæm_		
2	kani	kani	kæn_i		
2	kipo	kipo	kip_		
1	kp:ââ	kp_aa	kp__:		
1	kpu	kpu	kpu		
1	lv:ê	lv_e	l___		
1	lva	lva	l__æ		
1	lvi	lvi	l__i		
3	meyadi	meyadi	m_jæt_i		
3	mituye	mituye	mituj_		
3	nademo	nademo	n_æd_m_		
3	nayeki	nayeki	n_æj_ki		
2	noki	noki	n__ki		
2	nomi	nomi	n__mi		
4	nomiwake	nomiwake	n__miwæk_		
practice	nopimade	nopimade	n__pimæd_		
3	nuyedi	nuyedi	n_uj_di		
3	pedumi	pedumi	p_dumi		
2	piwa	piwa	piwæ		
practice	poni 	poni	p_n_i		
1	t:êê	t_ee	t___		
3	tiwune	tiwune	tiwun__		
4	todiwuma	todiwuma	t_t_iwumæ		
2	towi	towi	t_wi		
1	tp:a	tp_a	tpæ_		
1	tpâ	tpa	tp_		
1	tpê	tpe	tp_		
3	tumowe	tumowe	tumow_		
2	tupa	tupa	tupæ_		
4	wadikeno	wadikeno	wædik_n__		
practice	wî 	wi	w_		
3	widone	widone	wit__n__		
3	wumipo	wumipo	wumip_		
