type	target_ortho	target	phono	phono1	phono2	phono3	phono4	phono5	phono6	phono7	phono8
3	dimope	dimope	ṭimɔpɛ	ṭ	i	m	ɔ	p	ɛ	NA	NA
4	dipońate	diponate	ṭipɔnætɛ	ṭ	i	p	ɔ	n	̣æ	t	ɛ
3	diyeto	diyeto	ṭijɛtɔ	ṭ	i	j	ɛ	t	ɔ	NA	NA
1	dp:a	dp_a	ṭp̃æ	ṭp	̃æ	NA	NA	NA	NA	NA	NA
1	dpa	dpa	ṭpæ	ṭp	æ	NA	NA	NA	NA	NA	NA
1	dpâ	dpa2	ṭpɑ	ṭp	ɑ	NA	NA	NA	NA	NA	NA
1	dpê	dpe	ṭpə	ṭp	ə	NA	NA	NA	NA	NA	NA
1	dpéé	dpee	ṭpeː	ṭp	e:	NA	NA	NA	NA	NA	NA
1	dpi	dpi	ṭpi	ṭp	i	NA	NA	NA	NA	NA	NA
1	dpu	dpu	ṭpu	ṭp	u	NA	NA	NA	NA	NA	NA
1	gh:ââ	gh_aa	ɣ̃ɑː	ɣ	ɑ:	NA	NA	NA	NA	NA	NA
1	ghuu	ghuu	ɣuː	ɣ	u:	NA	NA	NA	NA	NA	NA
2	kamo	kamo	kæmɔ	k	æ	m	ɔ	NA	NA	NA	NA
2	kańi	kani	kæni	k	æ	n	i	NA	NA	NA	NA
2	kipo	kipo	kipɔ	k	i	p	ɔ	NA	NA	NA	NA
1   kp:ââ   kp_aa   kp̃ɑː   kp  ̃ɑː NA	NA	NA	NA	NA	NA
1	kpu	kpu	kpu	kp	u	NA	NA	NA	NA	NA	NA
1	lv:ê	lv_e	lβʲ̃ə	lβʲ	ə	NA	NA	NA	NA	NA	NA
1	lva	lva	lβʲæ	lβʲ	æ	NA	NA	NA	NA	NA	NA
1	lvi	lvi	lβʲi	lβʲ	i	NA	NA	NA	NA	NA	NA
3	meyadi	meyadi	mɛjæṭi	m	ɛ	j	æ	ṭ	i	NA	NA
3	mituye	mituye	mitujɛ	m	i	t	u	j	ɛ	NA	NA
3	ńademo	nademo	næṭɛmɔ	n	æ	d	ɛ	m	ɔ	NA	NA
3	ńayeki	nayeki	næjɛki	n	æ	j	ɛ	k	i	NA	NA
2	ńoki	noki	nɔki	n	ɔ	k	i	NA	NA	NA	NA
2	ńomi	nomi	nɔmi	n	ɔ	m	i	NA	NA	NA	NA
4	ńomiwake	nomiwake	nɔmiwækɛ	n	ɔ	m	i	w	æ	k	ɛ
practice	nopimade	nopimade	nɔpimæṭɛ	n	ɔ	p	i	m	æ	d	ɛ
3	ńuyedi	nuyedi	nujɛṭi	n	u	j	ɛ	d	i	NA	NA
3	pedumi	pedumi	pɛṭumi	p	ɛ	d	u	m	i	NA	NA
2	piwa	piwa	piwæ	p	i	w	æ	NA	NA	NA	NA
practice	poni 	poni	pɔni	p	ɔ	n	i	NA	NA	NA	NA
1   t:êê    t_ee    t̃əː    t   ̃əː NA	NA	NA	NA	NA	NA
3	tiwuńe	tiwune	tiwunɛ	t	i	w	u	n	ɛ	NA	NA
4	todiwuma	todiwuma	tɔṭiwumæ	t	ɔ	t	̣i	w	u	m	æ
2	towi	towi	tɔwi	t	ɔ	w	i	NA	NA	NA	NA
1	tp:a	tp_a	tp̃æ	tp	̃æ	NA	NA	NA	NA	NA	NA
1	tpâ	tpa	tpɑ	tp	ɑ	NA	NA	NA	NA	NA	NA
1	tpê	tpe	tpə	tp	ə	NA	NA	NA	NA	NA	NA
3	tumowe	tumowe	tumɔwɛ	t	u	m	ɔ	w	ɛ	NA	NA
2	tupa	tupa	tupæ	t	u	p	æ	NA	NA	NA	NA
4	wadikeńo	wadikeno	wæṭikɛnɔ	w	æ	ṭ	i	k	ɛ	n	ɔ
practice	wî 	wi	wɯ	w	ɯ	NA	NA	NA	NA	NA	NA
3	widońe	widone	wiṭɔnɛ	w	i	ṭ	ɔ	n	ɛ	NA	NA
3	wumipo	wumipo	wumipɔ	w	u	m	i	p	ɔ	NA	NA
