type	target_ortho	target	phono	ortho1	ortho2	ortho3	ortho4	ortho5	ortho6	ortho7	ortho8
3	dimope	dimope	ṭimɔpɛ	d	i	m	o	p	e	NA	NA
4	dipońate	diponate	ṭipɔnætɛ	d	i	p	o	ń	a	t	e
3	diyeto	diyeto	ṭijɛtɔ	d	i	y	e	t	o	NA	NA
1	dp:a	dp_a	ṭp̃æ	dp	:a	NA	NA	NA	NA	NA	NA
1	dpa	dpa	ṭpæ	dp	a	NA	NA	NA	NA	NA	NA
1	dpâ	dpa2	ṭpɑ	dp	â	NA	NA	NA	NA	NA	NA
1	dpê	dpe	ṭpə	dp	ê	NA	NA	NA	NA	NA	NA
1	dpéé	dpee	ṭpeː	dp	éé	NA	NA	NA	NA	NA	NA
1	dpi	dpi	ṭpi	dp	i	NA	NA	NA	NA	NA	NA
1	dpu	dpu	ṭpu	dp	u	NA	NA	NA	NA	NA	NA
1	gh:ââ	gh_aa	ɣ̃ɑː	gh	:ââ	NA	NA	NA	NA	NA	NA
1	ghuu	ghuu	ɣuː	gh	uu	NA	NA	NA	NA	NA	NA
2	kamo	kamo	kæmɔ	k	a	m	o	NA	NA	NA	NA
2	kańi	kani	kæni	k	a	ń	i	NA	NA	NA	NA
2	kipo	kipo	kipɔ	k	i	p	o	NA	NA	NA	NA
1	kp:ââ	kp_aa	kp̃ɑː	kp	:ââ	NA	NA	NA	NA	NA	NA
1	kpu	kpu	kpu	kp	u	NA	NA	NA	NA	NA	NA
1	lv:ê	lv_e	lβʲ̃ə	lv	:ê	NA	NA	NA	NA	NA	NA
1	lva	lva	lβʲæ	lv	a	NA	NA	NA	NA	NA	NA
1	lvi	lvi	lβʲi	lv	i	NA	NA	NA	NA	NA	NA
3	meyadi	meyadi	mɛjæṭi	m	e	y	a	d	i	NA	NA
3	mituye	mituye	mitujɛ	m	i	t	u	y	e	NA	NA
3	ńademo	nademo	næṭɛmɔ	ń	a	d	e	m	o	NA	NA
3	ńayeki	nayeki	næjɛki	ń	a	y	e	k	i	NA	NA
2	ńoki	noki	nɔki	ń	o	k	i	NA	NA	NA	NA
2	ńomi	nomi	nɔmi	ń	o	m	i	NA	NA	NA	NA
4	ńomiwake	nomiwake	nɔmiwækɛ	ń	o	m	i	w	a	k	e
practice	nopimade	nopimade	nɔpimæṭɛ	ń	o	p	i	m	a	d	e
3	ńuyedi	nuyedi	nujɛṭi	ń	u	y	e	d	i	NA	NA
3	pedumi	pedumi	pɛṭumi	p	e	d	u	m	i	NA	NA
2	piwa	piwa	piwæ	p	i	w	a	NA	NA	NA	NA
practice	poni	poni	pɔni	p	o	n	i	NA	NA	NA	NA
1	t:êê	t_ee	t̃əː	t	:êê	NA	NA	NA	NA	NA	NA
3	tiwuńe	tiwune	tiwunɛ	t	i	w	u	ń	e	NA	NA
4	todiwuma	todiwuma	tɔṭiwumæ	t	o	d	i	w	u	m	a
2	towi	towi	tɔwi	t	o	w	i	NA	NA	NA	NA
1	tp:a	tp_a	tp̃æ	tp	:a	NA	NA	NA	NA	NA	NA
1	tpâ	tpa	tpɑ	tp	â	NA	NA	NA	NA	NA	NA
1	tpê	tpe	tpə	tp	ê	NA	NA	NA	NA	NA	NA
3	tumowe	tumowe	tumɔwɛ	t	u	m	o	w	e	NA	NA
2	tupa	tupa	tupæ	t	u	p	a	NA	NA	NA	NA
4	wadikeńo	wadikeno	wæṭikɛnɔ	w	a	d	i	k	e	ń	o
practice	wî	wi	wɯ	w	î	NA	NA	NA	NA	NA	NA
3	widońe	widone	wiṭɔnɛ	w	i	d	o	ń	e	NA	NA
3	wumipo	wumipo	wumipɔ	w	u	m	i	p	o	NA	NA
