"target"	"realization"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"
"d"	"ch"	"dimope"	"timope"	7.37115516062885	"dimope"	"ṭimɔpɛ"	"dimope 12"
"d"	"ch"	"dimope"	"timope"	6.32399179767601	"dimope"	"ṭimɔpɛ"	"dimope 4"
"d"	"ch"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 13"
"d"	"ch"	"dimope"	"timope"	NA	"dimope"	"ṭimɔpɛ"	"dimope 25"
"d"	"k"	"dimope"	"kimope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 18"
"d"	"ch"	"dimope"	"timope"	7.60628844839371	"dimope"	"ṭimɔpɛ"	"dimope 20"
"d"	"k"	"dimope"	"kemope"	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 10"
"i"	"e"	"dimope"	"kemope"	5.52836637047163	"dimope"	"ṭimɔpɛ"	"dimope 10"
"d"	"ch"	"dimope"	"timope"	5.79904306220096	"dimope"	"ṭimɔpɛ"	"dimope 1"
"d"	"ch"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"
"'n"	"n"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"
"d"	"ch"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"
"'n"	"n"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"
"d"	"ch"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"
"'n"	"d"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"
"d"	"ch"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"
"'n"	"n"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"
"d"	"ch"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"
"'n"	"n"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"
