"V1"	"V2"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"i"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"e"
":a"	":ê"
":a"	"a"
":a"	":ê"
":a"	"e"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"a"
":a"	"e"
":â"	":ê"
":â"	":ê"
":â"	"ó"
":â"	":ê"
":â"	":a"
":â"	"o"
":â"	"o"
":â"	"o"
":ê"	"a"
":ê"	":â"
":ê"	"î"
":ê"	":â"
":ê"	":â"
":ê"	":â"
":ê"	":â"
":ê"	":â"
":ê"	":i"
":ê"	"â"
":ê"	"â"
":ê"	"â"
"a"	"â"
"a"	"e"
"a"	":â"
"a"	":o"
"a"	"ó"
"a"	":a"
"a"	":a"
"a"	":a"
"a"	"e"
"a"	":a"
"a"	"e"
"a"	":a"
"a"	":a"
"a"	":a"
"a"	":a"
"a"	":a"
"a"	":a"
"a"	":â"
"a"	":a"
"a"	"e"
"a"	"e"
"a"	":a"
"a"	":a"
"a"	":â"
"a"	":a"
"a"	"e"
"a"	"e"
"a"	"e"
"a"	"e"
"a"	"o"
"a"	"u"
"â"	":â"
"â"	"î"
"â"	"a"
"â"	"a"
"â"	":â"
"â"	"a"
"â"	":â"
"â"	":â"
"â"	"a"
"ch"	"d"
"ch"	"p"
"ch"	"d"
"ch"	"d"
"ch"	"k"
"ch"	"d"
"ch"	"d"
"ch"	"d"
"ch"	"d"
"ch"	"k"
"ch"	"k"
"ch"	"d"
"ch"	"d"
"ch"	"d"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"k"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"p"
"d"	"ch"
"d"	"ch"
"d"	"p"
"d"	"ch"
"d"	"p"
"d"	"dp"
"d"	"ch"
"d"	"ch"
"d"	"v"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"ch"
"d"	"l"
"d"	"ch"
"d"	"ch"
"dp"	"p"
"dp"	"tp"
"dp"	"p"
"dp"	"ch"
"dp"	"p"
"dp"	"ch"
"dp"	"tp"
"dp"	"p"
"dp"	"tp"
"dp"	"p"
"dp"	"p"
"dp"	"tp"
"dp"	"p"
"dp"	"tp"
"dp"	"ch"
"dp"	"ch"
"dp"	"tp"
"dp"	"tp"
"dp"	"p"
"dp"	"ch"
"dp"	"p"
"dp"	"ch"
"dp"	"d"
"dp"	"p"
"dp"	"p"
"dp"	"ly"
"dp"	"p"
"dp"	"p"
"dp"	"p"
"dp"	"p"
"dp"	"p"
"dp"	"p"
"dp"	"p"
"dp"	"ch"
"dp"	"tp"
"dp"	"p"
"dp"	"tp"
"dp"	"tp"
"dp"	"ch"
"dp"	"ch"
"dp"	"p"
"dp"	"ch"
"dp"	"d"
"dp"	"p"
"dp"	"p"
"dp"	"ch"
"dp"	"p"
"dp"	"d"
"dp"	"d"
"dp"	"tp"
"dp"	"ch"
"dp"	"ch"
"dp"	"tp"
"dp"	"tp"
"dp"	"d"
"dp"	"d"
"dp"	"tp"
"dp"	"ch"
"dp"	"ch"
"dp"	"ch"
"dp"	"tp"
"dp"	"ch"
"dp"	"ch"
"dp"	"tp"
"dp"	"tp"
"dp"	"tp"
"dp"	"tp"
"dp"	"p"
"dp"	"ch"
"dp"	"p"
