"","Orth.","Phon.","Orth.","Phon.","Orth.","Phon.","Orth.","Phon.","Orth.","Phon."
"1","nopimade","nɔpimæṭɛ","dp:a","ṭpæ̃","kamo","kæmɔ","dimope","ṭimɔpɛ","dipońate","ṭipɔnætɛ"
"2","poni","pɔni","dpa","ṭpæ","kańi","kæni","diyeto","ṭijɛtɔ","ńomiwake","nɔmiwækɛ"
"3","wî","wɯ","dpâ","ṭpɑ","kipo","kipɔ","meyadi","mɛjæṭi","todiwuma","tɔṭiwumæ"
"4","","","dpê","ṭpə","ńoki","nɔki","mituye","mitujɛ","wadikeńo","wæṭikɛnɔ"
"5","","","dpéé","ṭpeː","ńomi","nɔmi","ńademo","næṭɛmɔ","",""
"6","","","dpi","ṭpi","piwa","piwæ","ńayeki","næjɛki","",""
"7","","","dpu","ṭpu","towi","tɔwi","ńuyedi","nujɛṭi","",""
"8","","","gh:ââ","ɣɑ̃ː","tupa","tupæ","pedumi","pɛṭumi","",""
"9","","","ghuu","ɣuː","","","tiwuńe","tiwunɛ","",""
"10","","","kp:ââ","kpɑ̃ː","","","tumowe","tumɔwɛ","",""
"11","","","kpu","kpu","","","widońe","wiṭɔnɛ","",""
"12","","","lv:ê","lβʲə̃","","","wumipo","wumipɔ","",""
"13","","","lva","lβʲæ","","","","","",""
"14","","","lvi","lβʲi","","","","","",""
"15","","","t:êê","tə̃ː","","","","","",""
"16","","","tpê","tpə","","","","","",""
